forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,point,NA,72012.55394246073
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.01,69189.06028139408
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.025,69275.49376081448
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.05,69419.5495598485
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.1,69707.66115791652
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.15,69995.77275598454
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.2,70283.88435405257
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.25,70571.9959521206
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.3,70860.10755018862
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.35,71148.21914825664
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.4,71436.33074632467
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.45,71724.44234439271
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.5,72012.55394246073
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.55,72300.66554052876
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.6,72588.77713859678
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.65,72876.88873666481
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.7,73165.00033473283
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.75,73453.11193280085
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.8,73741.22353086888
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.85,74029.33512893692
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.9,74317.44672700494
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.95,74605.55832507295
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.975,74749.61412410697
2021-04-30,forecast,1 wk ahead inc case,2021-05-05,IT,quantile,0.99,74836.04760352738
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,point,NA,2154.6881026083356
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.01,2147.491833723763
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.025,2147.712127669209
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.05,2148.0792842449528
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.1,2148.8135973964395
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.15,2149.5479105479267
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.2,2150.2822236994134
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.25,2151.0165368509006
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.3,2151.750850002388
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.35,2152.4851631538745
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.4,2153.2194763053617
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.45,2153.9537894568484
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.5,2154.6881026083356
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.55,2155.422415759823
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.6,2156.1567289113095
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.65,2156.8910420627967
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.7,2157.6253552142834
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.75,2158.3596683657706
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.8,2159.093981517258
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.85,2159.8282946687445
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.9,2160.5626078202317
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.95,2161.2969209717185
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.975,2161.664077547462
2021-04-30,forecast,1 wk ahead inc death,2021-05-05,IT,quantile,0.99,2161.884371492908
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,point,NA,77504.96603413802
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.01,73584.02971524968
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.025,73704.05837807279
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.05,73904.10614944465
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.1,74304.20169218835
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.15,74704.29723493206
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.2,75104.39277767576
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.25,75504.48832041948
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.3,75904.58386316318
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.35,76304.67940590689
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.4,76704.77494865059
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.45,77104.87049139431
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.5,77504.96603413802
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.55,77905.06157688172
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.6,78305.15711962544
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.65,78705.25266236914
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.7,79105.34820511285
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.75,79505.44374785655
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.8,79905.53929060027
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.85,80305.63483334397
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.9,80705.73037608768
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.95,81105.82591883138
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.975,81305.87369020324
2021-04-30,forecast,2 wk ahead inc case,2021-05-12,IT,quantile,0.99,81425.90235302635
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,point,NA,1974.8954178887507
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.01,1961.8231826055187
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.025,1962.2233530733727
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.05,1962.8903038531294
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.1,1964.224205412643
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.15,1965.5581069721563
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.2,1966.89200853167
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.25,1968.2259100911833
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.3,1969.5598116506967
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.35,1970.8937132102103
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.4,1972.2276147697237
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.45,1973.5615163292373
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.5,1974.8954178887507
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.55,1976.229319448264
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.6,1977.5632210077777
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.65,1978.897122567291
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.7,1980.2310241268046
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.75,1981.564925686318
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.8,1982.8988272458314
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.85,1984.232728805345
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.9,1985.5666303648584
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.95,1986.900531924372
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.975,1987.5674827041287
2021-04-30,forecast,2 wk ahead inc death,2021-05-12,IT,quantile,0.99,1987.9676531719826
2021-04-30,forecast,3 wk ahead inc case,2021-05-19,IT,point,NA,87144.80885811582
2021-04-30,forecast,3 wk ahead inc case,2021-05-19,IT,quantile,0.01,82602.71454812528
2021-04-30,forecast,3 wk ahead inc case,2021-05-19,IT,quantile,0.025,82741.75825149234
2021-04-30,forecast,3 wk ahead inc case,2021-05-19,IT,quantile,0.05,82973.4977571041
