forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,point,NA,45919
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.01,25254
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.025,27707
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.05,30109
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.1,33267
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.15,35691
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.2,37537
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.25,39314
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.3,40884
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.35,42307
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.4,43560
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.45,44767
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.5,45919
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.55,47097
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.6,48393
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.65,49560
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.7,50788
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.75,52278
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.8,53964
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.85,55910
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.9,58633
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.95,62986
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.975,66866
2021-07-26,forecast,1 wk ahead inc case,2021-07-31,IT,quantile,0.99,72508
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,point,NA,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.01,93
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.025,93
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.05,94
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.1,94
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.15,94
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.2,95
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.25,95
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.3,95
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.35,95
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.4,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.45,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.5,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.55,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.6,96
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.65,97
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.7,97
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.75,97
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.8,97
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.85,97
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.9,98
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.95,98
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.975,99
2021-07-26,forecast,1 wk ahead inc death,2021-07-31,IT,quantile,0.99,99
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,point,NA,42351
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.01,20316
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.025,22991
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.05,25674
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.1,28880
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.15,31344
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.2,33406
2021-07-26,forecast,2 wk ahead inc case,2021-08-07,IT,quantile,0.25,35298
