date,Undetected,Positives
2021-02-20,245673.54165335387,630296.5416533538
2021-02-21,250718.21767102322,638858.0343484711
2021-02-22,255766.0238500779,647610.6522193855
2021-02-23,260842.09504104883,656603.2756040888
2021-02-24,265922.0702182074,665795.0706583565
2021-02-25,270989.9434118017,675159.3623462127
2021-02-26,275958.52417626686,684537.9193220456
2021-02-27,280807.290350597,693890.4804184766
2021-02-28,285722.93985503353,703550.8972496759
2021-03-01,290533.4042760907,713499.1692132197
2021-03-02,294112.9620667368,723169.4350466576
2021-03-03,296461.676359274,732523.2346955611
2021-03-04,297816.68961201346,741626.0941285914
2021-03-05,299340.15830675466,751028.297832175
2021-03-06,301113.0692766538,760892.7984383437
2021-03-07,302963.6442861032,770906.960689459
2021-03-08,304948.2902371895,781166.2452164138
2021-03-09,307095.67111962417,791653.1562584708
2021-03-10,309541.58040077053,802176.2229170667
2021-03-11,312265.3512144179,812715.6681657713
2021-03-12,315297.2778276737,823442.9083840668
2021-03-13,318323.86874986545,834273.9016140624
2021-03-14,321125.9520562882,844799.1414441456
2021-03-15,323747.55384291074,855069.9492865461
2021-03-16,326058.73830166523,864848.8339090153
2021-03-17,327651.17052371526,873527.3137514542
2021-03-18,326818.78205802623,878561.3264188988
2021-03-19,323532.92709592317,879730.9185789952
2021-03-20,318210.6829474847,877481.6752860672
2021-03-21,312722.326543923,874537.4467827223
2021-03-22,307061.70364884427,870857.167696183
2021-03-23,301283.9577001706,866553.0850808325
2021-03-24,295485.7046952987,861821.49937896
2021-03-25,289732.1567486297,856798.0140718465
2021-03-26,283991.22726343997,851435.0286531178
2021-03-27,278369.0821514037,845932.3562441493
2021-03-28,272975.4004406763,840495.9048297938
2021-03-29,267878.449966729,835247.0286099495
2021-03-30,263228.4060849373,830494.7372237132
2021-03-31,258448.9328769282,825604.9616570354
2021-04-01,250758.21962227608,817232.8508847785
2021-04-02,240443.55156742717,805457.4102495942
2021-04-03,228398.7214979093,791090.8228855227
2021-04-04,217386.49990943033,777361.1484100317
2021-04-05,207322.3746342115,764237.1025765559
2021-04-06,198072.54402214065,751595.0068311864
2021-04-07,189529.31498754563,739346.8902293709
2021-04-08,181585.0942421038,727386.0188687379
2021-04-09,174251.27299587167,715816.911905039
2021-04-10,167450.12876850276,704572.4851339003
2021-04-11,161118.5276137824,693471.154040519
