forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,point,NA,48390.974146697365
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.01,34724.2589429895
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.025,36514.054516016586
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.05,38239.23551335113
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.1,40348.014550090644
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.15,41703.09942916799
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.2,42801.57169378254
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.25,43782.068731334206
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.3,44717.251604323676
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.35,45654.52054015366
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.4,46594.829392848
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.45,47503.195903659216
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.5,48390.974146697365
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.55,49313.58483920207
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.6,50259.6705924944
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.65,51345.12383662743
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.7,52424.04699527584
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.75,53581.40660745946
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.8,54919.03857350681
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.85,56472.98828234957
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.9,58763.28866169277
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.95,62905.31724288357
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.975,66225.81783312288
2021-05-10,forecast,1 wk ahead inc case,2021-05-15,IT,quantile,0.99,69160.71888280606
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,point,NA,1376.93259790523
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.01,1291.3901088273162
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.025,1299.1721700236947
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.05,1307.3083956893438
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.1,1317.2994267437693
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.15,1324.9093736201764
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.2,1331.9232694833336
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.25,1339.528833144992
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.3,1347.2406315846602
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.35,1354.8315599571222
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.4,1362.172641286641
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.45,1370.006039970173
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.5,1376.93259790523
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.55,1384.141131607542
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.6,1391.142292642314
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.65,1398.0932919856023
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.7,1405.9891284077603
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.75,1413.5845317827843
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.8,1422.272499832674
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.85,1430.2756547352133
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.9,1440.5054991771904
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.95,1452.4562526448753
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.975,1462.2006626552757
2021-05-10,forecast,1 wk ahead inc death,2021-05-15,IT,quantile,0.99,1469.358864802222
