forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,point,NA,4738
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.01,3103
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.025,3238
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.05,3393
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.1,3554
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.15,3728
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.2,3923
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.25,4084
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.3,4229
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.35,4379
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.4,4513
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.45,4625
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.5,4738
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.55,4942
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.6,5067
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.65,5181
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.7,5341
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.75,5656
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.8,6078
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.85,6351
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.9,6679
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.95,7381
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.975,7985
2021-07-06,forecast,1 wk ahead inc case,2021-07-11,IT,quantile,0.99,8536
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,point,NA,350
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.01,322
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.025,325
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.05,329
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.1,334
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.15,337
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.2,339
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.25,341
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.3,343
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.35,344
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.4,346
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.45,348
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.5,350
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.55,352
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.6,353
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.65,355
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.7,357
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.75,359
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.8,361
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.85,363
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.9,365
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.95,370
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.975,372
2021-07-06,forecast,1 wk ahead inc hosp,2021-07-11,IT,quantile,0.99,376
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,point,NA,160
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.01,142
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.025,143
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.05,144
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.1,145
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.15,147
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.2,149
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.25,151
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.3,153
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.35,155
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.4,157
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.45,159
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.5,160
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.55,163
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.6,165
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.65,166
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.7,169
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.75,171
2021-07-06,forecast,1 wk ahead inc death,2021-07-11,IT,quantile,0.8,172
