forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,point,NA,23783
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.01,20773
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.025,21444
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.05,21963
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.1,22340
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.15,22633
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.2,22856
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.25,23061
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.3,23223
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.35,23363
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.4,23516
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.45,23640
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.5,23783
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.55,23910
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.6,24050
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.65,24188
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.7,24347
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.75,24536
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.8,24735
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.85,24964
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.9,25259
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.95,25675
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.975,25977
2021-09-20,forecast,1 wk ahead inc case,2021-09-25,IT,quantile,0.99,26303
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,point,NA,362
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.01,249
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.025,256
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.05,265
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.1,281
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.15,295
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.2,307
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.25,319
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.3,328
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.35,338
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.4,346
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.45,354
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.5,362
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.55,371
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.6,379
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.65,387
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.7,396
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.75,406
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.8,415
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.85,426
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.9,440
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.95,459
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.975,471
2021-09-20,forecast,1 wk ahead inc death,2021-09-25,IT,quantile,0.99,480
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,point,NA,21148
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.01,17925
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.025,18682
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.05,19196
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.1,19603
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.15,19910
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.2,20147
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.25,20373
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.3,20524
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.35,20699
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.4,20858
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.45,21005
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.5,21148
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.55,21301
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.6,21438
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.65,21601
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.7,21759
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.75,21982
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.8,22171
2021-09-20,forecast,2 wk ahead inc case,2021-10-02,IT,quantile,0.85,22427
